Date Time, Water Level, Sigma, I, L 
2023-01-01 00:00,-0.047,0.059,0,0
2023-01-01 01:00,-0.166,0.070,0,0
2023-01-01 02:00,-0.212,0.069,0,0
2023-01-01 03:00,-0.150,0.056,0,0
2023-01-01 04:00,-0.094,0.060,0,0
2023-01-01 05:00,0.019,0.072,0,0
2023-01-01 06:00,0.102,0.063,0,0
2023-01-01 07:00,0.200,0.062,0,0
2023-01-01 08:00,0.240,0.053,0,0
2023-01-01 09:00,0.258,0.057,0,0
2023-01-01 10:00,0.239,0.063,0,0
2023-01-01 11:00,0.186,0.063,0,0
2023-01-01 12:00,0.136,0.062,0,0
2023-01-01 13:00,0.111,0.064,0,0
2023-01-01 14:00,0.140,0.071,0,0
2023-01-01 15:00,0.191,0.058,0,0
2023-01-01 16:00,0.266,0.064,0,0
2023-01-01 17:00,0.312,0.067,0,0
2023-01-01 18:00,0.367,0.055,0,0
2023-01-01 19:00,0.412,0.068,0,0
2023-01-01 20:00,0.428,0.048,0,0
2023-01-01 21:00,0.391,0.054,0,0
2023-01-01 22:00,0.299,0.049,0,0
2023-01-01 23:00,0.186,0.061,0,0
2023-01-02 00:00,0.017,0.051,0,0
2023-01-02 01:00,-0.159,0.044,0,0
2023-01-02 02:00,-0.263,0.050,0,0
2023-01-02 03:00,-0.308,0.040,0,0
2023-01-02 04:00,-0.274,0.047,0,0
2023-01-02 05:00,-0.175,0.042,0,0
2023-01-02 06:00,-0.055,0.039,0,0
2023-01-02 07:00,0.029,0.043,0,0
2023-01-02 08:00,0.143,0.041,0,0
2023-01-02 09:00,0.199,0.042,0,0
2023-01-02 10:00,0.233,0.042,0,0
2023-01-02 11:00,0.200,0.046,0,0
2023-01-02 12:00,0.153,0.035,0,0
2023-01-02 13:00,0.113,0.037,0,0
2023-01-02 14:00,0.106,0.045,0,0
2023-01-02 15:00,0.111,0.035,0,0
2023-01-02 16:00,0.182,0.040,0,0
2023-01-02 17:00,0.247,0.034,0,0
2023-01-02 18:00,0.351,0.032,0,0
2023-01-02 19:00,0.407,0.036,0,0
2023-01-02 20:00,0.446,0.035,0,0
2023-01-02 21:00,0.445,0.030,0,0
2023-01-02 22:00,0.368,0.030,0,0
2023-01-02 23:00,0.260,0.029,0,0
2023-01-03 00:00,0.102,0.027,0,0
2023-01-03 01:00,-0.078,0.022,0,0
2023-01-03 02:00,-0.259,0.026,0,0
2023-01-03 03:00,-0.344,0.023,0,0
2023-01-03 04:00,-0.369,0.027,0,0
2023-01-03 05:00,-0.317,0.025,0,0
2023-01-03 06:00,-0.168,0.030,0,0
2023-01-03 07:00,-0.007,0.034,0,0
2023-01-03 08:00,0.121,0.039,0,0
2023-01-03 09:00,0.185,0.028,0,0
2023-01-03 10:00,0.288,0.049,0,0
2023-01-03 11:00,0.318,0.039,0,0
2023-01-03 12:00,0.340,0.036,0,0
2023-01-03 13:00,0.292,0.049,0,0
2023-01-03 14:00,0.271,0.053,0,0
2023-01-03 15:00,0.232,0.064,0,0
2023-01-03 16:00,0.277,0.064,0,0
2023-01-03 17:00,0.319,0.076,0,0
2023-01-03 18:00,0.400,0.080,0,0
2023-01-03 19:00,0.526,0.067,0,0
2023-01-03 20:00,0.625,0.072,0,0
2023-01-03 21:00,0.626,0.093,0,0
2023-01-03 22:00,0.570,0.058,0,0
2023-01-03 23:00,0.491,0.070,0,0
2023-01-04 00:00,0.342,0.061,0,0
2023-01-04 01:00,0.136,0.064,0,0
2023-01-04 02:00,-0.093,0.061,0,0
