Date Time, Speed, Direction, Direction, Gust, X, R 
2022-01-01 00:00,3.10,119.00,ESE,5.60,0,0
2022-01-01 01:00,3.20,116.00,ESE,5.00,0,0
2022-01-01 02:00,3.80,119.00,ESE,6.20,0,0
2022-01-01 03:00,3.80,134.00,SE,7.00,0,0
2022-01-01 04:00,3.60,130.00,SE,5.80,0,0
2022-01-01 05:00,4.30,126.00,SE,6.50,0,0
2022-01-01 06:00,4.80,140.00,SE,7.00,0,0
2022-01-01 07:00,4.20,134.00,SE,6.30,0,0
2022-01-01 08:00,3.90,133.00,SE,5.80,0,0
2022-01-01 09:00,3.60,131.00,SE,6.10,0,0
2022-01-01 10:00,4.00,139.00,SE,6.20,0,0
2022-01-01 11:00,2.60,175.00,S,7.10,0,0
2022-01-01 12:00,3.80,169.00,S,6.30,0,0
2022-01-01 13:00,4.30,177.00,S,6.80,0,0
2022-01-01 14:00,3.50,164.00,SSE,7.00,0,0
2022-01-01 15:00,4.40,160.00,SSE,6.20,0,0
2022-01-01 16:00,3.80,157.00,SSE,6.00,0,0
2022-01-01 17:00,4.40,136.00,SE,6.10,0,0
2022-01-01 18:00,3.90,135.00,SE,5.40,0,0
2022-01-01 19:00,4.60,135.00,SE,6.70,0,0
2022-01-01 20:00,4.20,134.00,SE,5.60,0,0
2022-01-01 21:00,3.90,136.00,SE,5.60,0,0
2022-01-01 22:00,3.10,131.00,SE,5.40,0,0
2022-01-01 23:00,5.30,139.00,SE,7.30,0,0
2022-01-02 00:00,5.50,139.00,SE,7.00,0,0
2022-01-02 01:00,5.00,140.00,SE,8.40,0,0
2022-01-02 02:00,3.60,146.00,SE,5.90,0,0
2022-01-02 03:00,4.20,154.00,SSE,6.20,0,0
2022-01-02 04:00,5.30,157.00,SSE,7.20,0,0
2022-01-02 05:00,3.80,172.00,S,5.80,0,0
2022-01-02 06:00,4.70,175.00,S,6.70,0,0
2022-01-02 07:00,4.20,160.00,SSE,6.60,0,0
2022-01-02 08:00,4.50,163.00,SSE,6.60,0,0
2022-01-02 09:00,4.70,160.00,SSE,7.00,0,0
2022-01-02 10:00,5.30,156.00,SSE,7.40,0,0
2022-01-02 11:00,6.10,161.00,SSE,8.90,0,0
2022-01-02 12:00,4.00,162.00,SSE,7.10,0,0
2022-01-02 13:00,3.00,167.00,SSE,5.70,0,0
2022-01-02 14:00,4.20,159.00,SSE,6.30,0,0
2022-01-02 15:00,3.70,152.00,SSE,6.50,0,0
2022-01-02 16:00,3.70,156.00,SSE,5.60,0,0
2022-01-02 17:00,3.30,157.00,SSE,4.60,0,0
2022-01-02 18:00,1.70,147.00,SSE,2.60,0,0
2022-01-02 19:00,2.20,140.00,SE,2.80,0,0
2022-01-02 20:00,1.60,150.00,SSE,2.40,0,0
2022-01-02 21:00,1.50,166.00,SSE,2.20,0,0
2022-01-02 22:00,1.10,185.00,S,1.60,0,0
2022-01-02 23:00,1.30,180.00,S,1.80,0,0
2022-01-03 00:00,1.40,162.00,SSE,2.10,0,0
2022-01-03 01:00,1.20,188.00,S,1.70,0,0
2022-01-03 02:00,0.90,200.00,SSW,1.30,0,0
2022-01-03 03:00,1.50,164.00,SSE,2.30,0,0
2022-01-03 04:00,1.60,163.00,SSE,2.50,0,0
2022-01-03 05:00,1.60,189.00,S,3.20,0,0
2022-01-03 06:00,1.50,198.00,SSW,2.70,0,0
2022-01-03 07:00,2.60,221.00,SW,3.80,0,0
2022-01-03 08:00,2.20,228.00,SW,3.40,0,0
2022-01-03 09:00,3.30,229.00,SW,5.10,0,0
2022-01-03 10:00,3.70,230.00,SW,5.30,0,0
2022-01-03 11:00,11.60,357.00,N,14.50,0,0
2022-01-03 12:00,9.90,359.00,N,11.90,0,0
2022-01-03 13:00,9.40,4.00,N,11.60,0,0
2022-01-03 14:00,7.60,4.00,N,10.70,0,0
2022-01-03 15:00,8.50,2.00,N,10.80,0,0
2022-01-03 16:00,8.10,1.00,N,10.80,0,0
2022-01-03 17:00,9.40,0.00,N,11.90,0,0
2022-01-03 18:00,7.70,355.00,N,10.90,0,0
2022-01-03 19:00,9.70,359.00,N,11.40,0,0
2022-01-03 20:00,8.60,357.00,N,10.20,0,0
2022-01-03 21:00,8.10,0.00,N,10.10,0,0
2022-01-03 22:00,9.30,354.00,N,11.60,0,0
2022-01-03 23:00,8.60,356.00,N,10.60,0,0
2022-01-04 00:00,7.30,356.00,N,9.40,0,0
2022-01-04 01:00,7.20,358.00,N,9.20,0,0
2022-01-04 02:00,4.50,2.00,N,7.10,0,0
2022-01-04 03:00,3.90,359.00,N,6.50,0,0
2022-01-04 04:00,4.60,6.00,N,6.70,0,0
2022-01-04 05:00,2.70,28.00,NNE,4.60,0,0
2022-01-04 06:00,3.70,6.00,N,4.40,0,0
2022-01-04 07:00,2.20,32.00,NNE,3.30,0,0
2022-01-04 08:00,2.90,9.00,N,4.20,0,0
2022-01-04 09:00,3.10,9.00,N,5.40,0,0
2022-01-04 10:00,2.90,356.00,N,5.00,0,0
2022-01-04 11:00,4.20,360.00,N,5.30,0,0
2022-01-04 12:00,2.70,17.00,NNE,4.90,0,0
2022-01-04 13:00,4.10,354.00,N,5.00,0,0
2022-01-04 14:00,3.50,0.00,N,5.20,0,0
2022-01-04 15:00,3.40,341.00,NNW,4.70,0,0
2022-01-04 16:00,2.70,338.00,NNW,3.60,0,0
2022-01-04 17:00,1.90,340.00,NNW,3.50,0,0
2022-01-04 18:00,3.90,345.00,NNW,4.90,0,0
2022-01-04 19:00,3.00,330.00,NNW,3.90,0,0
2022-01-04 20:00,3.20,355.00,N,3.80,0,0
2022-01-04 21:00,1.00,22.00,NNE,1.60,0,0
2022-01-04 22:00,1.20,39.00,NE,1.40,0,0
2022-01-04 23:00,0.00,93.00,E,0.40,0,0
2022-01-05 00:00,0.60,258.00,WSW,0.60,0,0
2022-01-05 01:00,0.70,250.00,WSW,1.50,0,0
2022-01-05 02:00,1.90,254.00,WSW,2.60,0,0
2022-01-05 03:00,3.90,291.00,WNW,4.70,0,0
2022-01-05 04:00,3.90,301.00,WNW,5.00,0,0
2022-01-05 05:00,3.90,288.00,WNW,4.50,0,0
2022-01-05 06:00,3.60,310.00,NW,4.10,0,0
2022-01-05 07:00,3.20,288.00,WNW,4.50,0,0
2022-01-05 08:00,4.60,278.00,W,5.40,0,0
2022-01-05 09:00,6.10,286.00,WNW,6.60,0,0
2022-01-05 10:00,4.20,297.00,WNW,5.90,0,0
2022-01-05 11:00,3.60,309.00,NW,4.30,0,0
2022-01-05 12:00,4.40,296.00,WNW,5.60,0,0
2022-01-05 13:00,4.30,304.00,NW,5.20,0,0
2022-01-05 14:00,5.10,295.00,WNW,6.10,0,0
2022-01-05 15:00,4.20,291.00,WNW,5.40,0,0
2022-01-05 16:00,4.00,306.00,NW,5.70,0,0
2022-01-05 17:00,4.50,277.00,W,5.20,0,0
2022-01-05 18:00,4.70,298.00,WNW,5.50,0,0
2022-01-05 19:00,4.50,325.00,NW,5.00,0,0
2022-01-05 20:00,3.50,337.00,NNW,4.10,0,0
2022-01-05 21:00,0.90,302.00,WNW,1.60,0,0
2022-01-05 22:00,1.60,309.00,NW,2.10,0,0
2022-01-05 23:00,1.50,258.00,WSW,1.90,0,0
2022-01-06 00:00,1.60,262.00,W,2.10,0,0
2022-01-06 01:00,1.70,283.00,WNW,2.10,0,0
2022-01-06 02:00,1.20,182.00,S,1.80,0,0
2022-01-06 03:00,1.40,335.00,NNW,1.90,0,0
2022-01-06 04:00,1.00,80.00,E,1.20,0,0
2022-01-06 05:00,1.70,56.00,NE,2.10,0,0
2022-01-06 06:00,1.10,67.00,ENE,2.40,0,0
2022-01-06 07:00,1.40,60.00,ENE,2.40,0,0
2022-01-06 08:00,2.10,75.00,ENE,4.10,0,0
2022-01-06 09:00,3.70,59.00,ENE,6.10,0,0
2022-01-06 10:00,3.10,74.00,ENE,5.70,0,0
2022-01-06 11:00,2.80,66.00,ENE,4.80,0,0
2022-01-06 12:00,3.30,62.00,ENE,5.10,0,0
2022-01-06 13:00,3.00,124.00,SE,6.00,0,0
2022-01-06 14:00,3.00,123.00,ESE,4.30,0,0
2022-01-06 15:00,3.50,126.00,SE,5.50,0,0
2022-01-06 16:00,3.50,47.00,NE,5.10,0,0
2022-01-06 17:00,2.40,95.00,E,3.90,0,0
2022-01-06 18:00,2.20,113.00,ESE,3.70,0,0
2022-01-06 19:00,1.30,84.00,E,3.10,0,0
2022-01-06 20:00,1.60,89.00,E,3.10,0,0
2022-01-06 21:00,1.90,98.00,E,2.90,0,0
2022-01-06 22:00,1.20,80.00,E,3.00,0,0
2022-01-06 23:00,1.00,103.00,ESE,1.90,0,0
2022-01-07 00:00,1.90,117.00,ESE,2.40,0,0
2022-01-07 01:00,1.10,96.00,E,2.30,0,0
2022-01-07 02:00,1.00,83.00,E,1.60,0,0
2022-01-07 03:00,1.90,54.00,NE,2.50,0,0
2022-01-07 04:00,1.80,65.00,ENE,2.50,0,0
2022-01-07 05:00,1.80,69.00,ENE,2.40,0,0
2022-01-07 06:00,1.50,109.00,ESE,1.60,0,0
2022-01-07 07:00,2.90,141.00,SE,5.20,0,0
2022-01-07 08:00,2.30,157.00,SSE,3.00,0,0
2022-01-07 09:00,0.90,171.00,S,1.90,0,0
2022-01-07 10:00,2.20,218.00,SW,3.40,0,0
2022-01-07 11:00,1.40,186.00,S,2.30,0,0
2022-01-07 12:00,2.40,174.00,S,2.90,0,0
2022-01-07 13:00,0.60,261.00,W,1.60,0,0
2022-01-07 14:00,2.60,356.00,N,3.50,0,0
2022-01-07 15:00,2.40,351.00,N,2.80,0,0
2022-01-07 16:00,4.80,2.00,N,5.80,0,0
2022-01-07 17:00,3.90,9.00,N,4.60,0,0
2022-01-07 18:00,2.20,38.00,NE,4.80,0,0
2022-01-07 19:00,3.00,31.00,NNE,4.60,0,0
2022-01-07 20:00,2.60,47.00,NE,4.00,0,0
2022-01-07 21:00,2.40,53.00,NE,3.50,0,0
2022-01-07 22:00,2.10,44.00,NE,3.00,0,0
2022-01-07 23:00,1.80,53.00,NE,2.90,0,0
2022-01-08 00:00,1.10,50.00,NE,1.90,0,0
2022-01-08 01:00,2.10,54.00,NE,3.30,0,0
2022-01-08 02:00,2.80,59.00,ENE,3.80,0,0
2022-01-08 03:00,2.60,65.00,ENE,4.00,0,0
2022-01-08 04:00,3.10,74.00,ENE,4.50,0,0
2022-01-08 05:00,1.90,76.00,ENE,4.40,0,0
2022-01-08 06:00,2.60,64.00,ENE,4.60,0,0
2022-01-08 07:00,2.80,59.00,ENE,4.90,0,0
2022-01-08 08:00,4.40,87.00,E,7.50,0,0
2022-01-08 09:00,2.90,77.00,ENE,5.50,0,0
2022-01-08 10:00,4.20,68.00,ENE,6.40,0,0
2022-01-08 11:00,3.50,64.00,ENE,5.80,0,0
2022-01-08 12:00,4.30,95.00,E,6.90,0,0
2022-01-08 13:00,4.90,108.00,ESE,7.60,0,0
2022-01-08 14:00,6.00,105.00,ESE,8.30,0,0
2022-01-08 15:00,4.30,104.00,ESE,6.50,0,0
2022-01-08 16:00,4.70,99.00,E,9.10,0,0
2022-01-08 17:00,4.10,105.00,ESE,7.20,0,0
2022-01-08 18:00,3.30,97.00,E,5.10,0,0
2022-01-08 19:00,2.80,91.00,E,4.70,0,0
2022-01-08 20:00,2.30,85.00,E,5.00,0,0
2022-01-08 21:00,3.10,92.00,E,4.60,0,0
2022-01-08 22:00,2.90,77.00,ENE,5.50,0,0
2022-01-08 23:00,3.40,72.00,ENE,8.00,0,0
2022-01-09 00:00,3.00,81.00,E,7.30,0,0
2022-01-09 01:00,3.50,69.00,ENE,6.00,0,0
2022-01-09 02:00,2.90,67.00,ENE,5.80,0,0
2022-01-09 03:00,4.40,69.00,ENE,7.00,0,0
2022-01-09 04:00,2.60,86.00,E,6.60,0,0
2022-01-09 05:00,3.00,91.00,E,4.20,0,0
2022-01-09 06:00,2.30,84.00,E,5.90,0,0
2022-01-09 07:00,2.60,84.00,E,4.80,0,0
2022-01-09 08:00,3.10,91.00,E,6.10,0,0
2022-01-09 09:00,4.50,100.00,E,6.20,0,0
2022-01-09 10:00,4.70,108.00,ESE,8.10,0,0
2022-01-09 11:00,4.20,99.00,E,8.10,0,0
2022-01-09 12:00,4.70,115.00,ESE,7.20,0,0
2022-01-09 13:00,5.30,108.00,ESE,8.60,0,0
2022-01-09 14:00,5.20,121.00,ESE,7.70,0,0
2022-01-09 15:00,3.50,95.00,E,6.10,0,0
2022-01-09 16:00,4.80,98.00,E,7.10,0,0
2022-01-09 17:00,3.20,105.00,ESE,5.60,0,0
2022-01-09 18:00,2.40,101.00,E,5.70,0,0
2022-01-09 19:00,3.20,92.00,E,6.30,0,0
2022-01-09 20:00,2.30,83.00,E,4.50,0,0
2022-01-09 21:00,2.30,96.00,E,3.70,0,0
2022-01-09 22:00,2.00,95.00,E,3.70,0,0
2022-01-09 23:00,2.80,91.00,E,3.80,0,0
2022-01-10 00:00,1.50,85.00,E,2.40,0,0
2022-01-10 01:00,1.50,65.00,ENE,2.40,0,0
2022-01-10 02:00,1.50,67.00,ENE,2.10,0,0
2022-01-10 03:00,1.70,74.00,ENE,2.60,0,0
2022-01-10 04:00,1.90,54.00,NE,2.90,0,0
2022-01-10 05:00,1.90,48.00,NE,2.90,0,0
2022-01-10 06:00,2.10,62.00,ENE,3.10,0,0
2022-01-10 07:00,2.70,41.00,NE,3.80,0,0
2022-01-10 08:00,2.20,37.00,NE,3.20,0,0
2022-01-10 09:00,2.40,38.00,NE,4.00,0,0
2022-01-10 10:00,3.80,79.00,E,5.50,0,0
2022-01-10 11:00,2.80,80.00,E,5.90,0,0
2022-01-10 12:00,2.10,49.00,NE,4.40,0,0
2022-01-10 13:00,2.30,35.00,NE,4.10,0,0
2022-01-10 14:00,2.40,66.00,ENE,3.40,0,0
2022-01-10 15:00,1.50,59.00,ENE,3.20,0,0
2022-01-10 16:00,5.60,359.00,N,6.60,0,0
2022-01-10 17:00,5.60,4.00,N,6.70,0,0
2022-01-10 18:00,5.60,344.00,NNW,6.70,0,0
2022-01-10 19:00,6.40,351.00,N,8.00,0,0
2022-01-10 20:00,6.20,356.00,N,7.50,0,0
2022-01-10 21:00,6.20,3.00,N,8.10,0,0
2022-01-10 22:00,4.90,11.00,N,7.90,0,0
2022-01-10 23:00,4.00,33.00,NNE,5.50,0,0
2022-01-11 00:00,3.90,24.00,NNE,6.00,0,0
2022-01-11 01:00,5.10,11.00,N,7.60,0,0
2022-01-11 02:00,4.10,38.00,NE,6.00,0,0
2022-01-11 03:00,3.20,36.00,NE,5.40,0,0
2022-01-11 04:00,3.60,32.00,NNE,6.70,0,0
2022-01-11 05:00,4.20,43.00,NE,6.60,0,0
2022-01-11 06:00,4.00,57.00,ENE,7.50,0,0
2022-01-11 07:00,5.20,44.00,NE,7.10,0,0
2022-01-11 08:00,5.40,35.00,NE,8.90,0,0
2022-01-11 09:00,6.20,23.00,NNE,8.50,0,0
2022-01-11 10:00,5.40,29.00,NNE,9.60,0,0
2022-01-11 11:00,5.20,32.00,NNE,8.10,0,0
2022-01-11 12:00,4.90,31.00,NNE,8.10,0,0
2022-01-11 13:00,5.00,47.00,NE,9.00,0,0
2022-01-11 14:00,4.20,33.00,NNE,8.50,0,0
2022-01-11 15:00,5.00,36.00,NE,7.10,0,0
2022-01-11 16:00,5.80,19.00,NNE,7.90,0,0
2022-01-11 17:00,4.20,32.00,NNE,7.20,0,0
2022-01-11 18:00,3.10,35.00,NE,6.50,0,0
2022-01-11 19:00,4.40,45.00,NE,6.50,0,0
2022-01-11 20:00,4.30,42.00,NE,7.80,0,0
2022-01-11 21:00,5.10,38.00,NE,8.40,0,0
2022-01-11 22:00,5.90,48.00,NE,8.60,0,0
2022-01-11 23:00,5.40,54.00,NE,9.20,0,0
2022-01-12 00:00,6.90,59.00,ENE,9.40,0,0
2022-01-12 01:00,5.90,54.00,NE,9.10,0,0
2022-01-12 02:00,3.70,62.00,ENE,7.90,0,0
2022-01-12 03:00,4.20,64.00,ENE,8.20,0,0
2022-01-12 04:00,5.30,55.00,NE,7.40,0,0
2022-01-12 05:00,5.20,74.00,ENE,7.30,0,0
2022-01-12 06:00,3.10,66.00,ENE,5.90,0,0
2022-01-12 07:00,3.50,63.00,ENE,6.00,0,0
2022-01-12 08:00,4.10,75.00,ENE,7.40,0,0
2022-01-12 09:00,4.50,58.00,ENE,7.50,0,0
2022-01-12 10:00,4.00,76.00,ENE,8.90,0,0
2022-01-12 11:00,5.60,79.00,E,9.60,0,0
2022-01-12 12:00,4.70,72.00,ENE,8.00,0,0
2022-01-12 13:00,5.90,60.00,ENE,9.70,0,0
2022-01-12 14:00,4.80,66.00,ENE,7.60,0,0
2022-01-12 15:00,4.30,82.00,E,7.00,0,0
2022-01-12 16:00,5.00,78.00,ENE,8.40,0,0
2022-01-12 17:00,3.90,77.00,ENE,6.40,0,0
2022-01-12 18:00,3.00,82.00,E,6.70,0,0
2022-01-12 19:00,2.60,83.00,E,5.20,0,0
2022-01-12 20:00,2.70,85.00,E,4.40,0,0
2022-01-12 21:00,2.00,78.00,ENE,3.70,0,0
2022-01-12 22:00,1.40,84.00,E,2.70,0,0
2022-01-12 23:00,1.80,63.00,ENE,2.50,0,0
2022-01-13 00:00,1.70,59.00,ENE,2.50,0,0
2022-01-13 01:00,1.30,82.00,E,2.10,0,0
2022-01-13 02:00,1.60,31.00,NNE,2.40,0,0
2022-01-13 03:00,1.40,66.00,ENE,2.30,0,0
2022-01-13 04:00,1.80,32.00,NNE,3.00,0,0
2022-01-13 05:00,1.10,46.00,NE,2.40,0,0
2022-01-13 06:00,1.60,44.00,NE,2.90,0,0
2022-01-13 07:00,1.30,37.00,NE,2.00,0,0
2022-01-13 08:00,1.40,24.00,NNE,2.10,0,0
2022-01-13 09:00,6.70,340.00,NNW,9.20,0,0
2022-01-13 10:00,5.20,358.00,N,6.10,0,0
2022-01-13 11:00,3.60,58.00,ENE,5.50,0,0
2022-01-13 12:00,2.90,29.00,NNE,5.00,0,0
2022-01-13 13:00,2.40,4.00,N,4.10,0,0
2022-01-13 14:00,2.90,6.00,N,3.80,0,0
2022-01-13 15:00,5.50,333.00,NNW,6.90,0,0
2022-01-13 16:00,5.40,335.00,NNW,6.80,0,0
2022-01-13 17:00,6.80,333.00,NNW,7.60,0,0
2022-01-13 18:00,5.30,334.00,NNW,7.30,0,0
2022-01-13 19:00,5.30,345.00,NNW,6.70,0,0
2022-01-13 20:00,5.80,335.00,NNW,7.50,0,0
2022-01-13 21:00,7.30,336.00,NNW,8.50,0,0
2022-01-13 22:00,6.50,333.00,NNW,8.20,0,0
2022-01-13 23:00,6.60,328.00,NNW,8.70,0,0
2022-01-14 00:00,8.40,310.00,NW,10.00,0,0
2022-01-14 01:00,8.80,326.00,NW,9.90,0,0
2022-01-14 02:00,10.50,318.00,NW,12.40,0,0
2022-01-14 03:00,9.80,325.00,NW,11.30,0,0
2022-01-14 04:00,8.90,326.00,NW,10.70,0,0
2022-01-14 05:00,9.50,333.00,NNW,12.20,0,0
2022-01-14 06:00,9.60,336.00,NNW,11.40,0,0
2022-01-14 07:00,7.70,341.00,NNW,9.80,0,0
2022-01-14 08:00,6.10,346.00,NNW,8.20,0,0
2022-01-14 09:00,6.60,333.00,NNW,8.10,0,0
2022-01-14 10:00,5.40,345.00,NNW,7.20,0,0
2022-01-14 11:00,5.70,325.00,NW,7.70,0,0
2022-01-14 12:00,5.80,353.00,N,7.30,0,0
2022-01-14 13:00,4.60,324.00,NW,5.70,0,0
2022-01-14 14:00,5.50,329.00,NNW,7.50,0,0
2022-01-14 15:00,4.20,46.00,NE,6.80,0,0
2022-01-14 16:00,2.60,68.00,ENE,4.90,0,0
2022-01-14 17:00,3.30,37.00,NE,5.40,0,0
2022-01-14 18:00,2.10,70.00,ENE,3.40,0,0
2022-01-14 19:00,1.40,69.00,ENE,2.50,0,0
2022-01-14 20:00,1.20,88.00,E,1.70,0,0
2022-01-14 21:00,1.20,95.00,E,1.90,0,0
2022-01-14 22:00,1.40,96.00,E,2.60,0,0
2022-01-14 23:00,1.50,87.00,E,2.30,0,0
2022-01-15 00:00,1.90,75.00,ENE,2.50,0,0
2022-01-15 01:00,1.80,77.00,ENE,2.30,0,0
2022-01-15 02:00,1.70,80.00,E,2.30,0,0
2022-01-15 03:00,1.90,80.00,E,2.70,0,0
2022-01-15 04:00,1.80,81.00,E,2.60,0,0
2022-01-15 05:00,2.00,78.00,ENE,2.60,0,0
2022-01-15 06:00,2.20,78.00,ENE,3.00,0,0
2022-01-15 07:00,2.00,82.00,E,3.00,0,0
2022-01-15 08:00,2.00,89.00,E,3.10,0,0
2022-01-15 09:00,2.40,95.00,E,4.90,0,0
2022-01-15 10:00,2.60,101.00,E,4.50,0,0
2022-01-15 11:00,3.00,101.00,E,4.70,0,0
2022-01-15 12:00,2.30,107.00,ESE,5.20,0,0
2022-01-15 13:00,4.20,126.00,SE,5.10,0,0
2022-01-15 14:00,4.10,119.00,ESE,5.60,0,0
2022-01-15 15:00,4.20,130.00,SE,6.70,0,0
2022-01-15 16:00,4.50,125.00,SE,6.60,0,0
2022-01-15 17:00,4.60,115.00,ESE,7.10,0,0
2022-01-15 18:00,4.10,124.00,SE,7.90,0,0
2022-01-15 19:00,4.90,145.00,SE,7.10,0,0
2022-01-15 20:00,5.70,130.00,SE,8.40,0,0
2022-01-15 21:00,4.40,150.00,SSE,7.40,0,0
2022-01-15 22:00,4.80,167.00,SSE,9.40,0,0
2022-01-15 23:00,5.80,163.00,SSE,7.40,0,0
2022-01-16 00:00,6.00,164.00,SSE,9.20,0,0
2022-01-16 01:00,6.30,181.00,S,8.30,0,0
2022-01-16 02:00,7.90,157.00,SSE,10.90,0,0
2022-01-16 03:00,5.30,171.00,S,9.90,0,0
2022-01-16 04:00,7.50,181.00,S,10.70,0,0
2022-01-16 05:00,7.20,169.00,S,11.20,0,0
2022-01-16 06:00,8.40,177.00,S,11.90,0,0
2022-01-16 07:00,8.90,181.00,S,12.70,0,0
2022-01-16 08:00,6.80,192.00,SSW,11.40,0,0
2022-01-16 09:00,6.80,190.00,S,10.00,0,0
2022-01-16 10:00,6.30,201.00,SSW,11.00,0,0
2022-01-16 11:00,5.10,205.00,SSW,11.10,0,0
2022-01-16 12:00,5.30,237.00,WSW,8.20,0,0
2022-01-16 13:00,8.00,257.00,WSW,10.00,0,0
2022-01-16 14:00,7.50,288.00,WNW,9.70,0,0
2022-01-16 15:00,5.80,294.00,WNW,7.30,0,0
2022-01-16 16:00,10.20,306.00,NW,12.10,0,0
2022-01-16 17:00,10.10,308.00,NW,12.00,0,0
2022-01-16 18:00,10.70,291.00,WNW,11.90,0,0
2022-01-16 19:00,8.40,289.00,WNW,10.30,0,0
2022-01-16 20:00,9.80,295.00,WNW,11.10,0,0
2022-01-16 21:00,7.40,271.00,W,10.40,0,0
2022-01-16 22:00,10.00,281.00,W,11.40,0,0
2022-01-16 23:00,8.40,276.00,W,10.70,0,0
2022-01-17 00:00,9.20,289.00,WNW,11.40,0,0
2022-01-17 01:00,10.10,301.00,WNW,13.20,0,0
2022-01-17 02:00,9.30,306.00,NW,12.70,0,0
2022-01-17 03:00,10.00,306.00,NW,11.50,0,0
2022-01-17 04:00,9.70,313.00,NW,11.40,0,0
2022-01-17 05:00,8.90,296.00,WNW,11.30,0,0
2022-01-17 06:00,8.20,297.00,WNW,9.50,0,0
2022-01-17 07:00,9.20,330.00,NNW,10.70,0,0
2022-01-17 08:00,8.10,318.00,NW,10.30,0,0
2022-01-17 09:00,10.10,314.00,NW,11.40,0,0
2022-01-17 10:00,7.70,305.00,NW,9.70,0,0
2022-01-17 11:00,10.60,318.00,NW,13.30,0,0
2022-01-17 12:00,9.10,318.00,NW,11.20,0,0
